N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
2,9 de marzo,Conceptual:,,Primer momento:,Unidad II:,Inicial,Otras técnicas de aprendizaje,,Debate,,Proyección social
,,Explicar el estudio de la sociología como ciencia y su relacion con otras ciencias.,,Conversatorio,Historia del pensamiento Sociologico ,conversatorio para revisar trabajo independiente,antecedentes lejanos y libros sagrados,,Debate sobre trabajo independiente y nuevo tema,la Docente explicara caracteristicas de los libros sagrados y sus precursores y solicitara participacion de los estudiantes en un debate ,
,,Procedimental:,,Segundo momento:,,Desarrollo,Otras técnicas de aprendizaje,,Otros,,
,,Debatir las diferentes definiciones de Sociologia y su relacion con otras ciencias ,,Trabajo en grupos,,explicación docente y orientación del trabajo del tema nuevo,"Platón y Aristóteles, San Agustín y Santo Tomás, Turgot Vado, Montesquieu",,orientación del trabajo a realizar,"1. Complete en un siguiente esquema escribiendo aportes de  los siguientes precursores de la sociología. 22.	Brinde su punto de vista o análisis sobre el siguiente enunciado “La religión es objeto de estudio de muchas ciencias como la Filosofía y Teología, para la explicación de mitos, valores, creencias y  conductas que rigen al ser humano y sus formas de vida.
3.	Redacta un resumen sobre los aportes  que dieron Abdel Jaldum, Carlos Montesquieu y Turgot a la Sociología de aquella época 
4.	¿Crees que se relaciona la fe con la Razón ,que defendía Agustín Y Tomas, ¿ se relacionan con tu carrera universitaria? Justifique 
	",
,,Actitudinal:,,Tercer momento:,,Cierre,Otras técnicas de aprendizaje,,Organizadores gráficos,,
,,Valorar el papel de la Sociología en la vida diaria y su relación con otras ciencias ,,Orientación de trabajo independiente,,Revisión del trabajo y orientación del trabajo independiente,perspectivas Sociológicas,,la docente explica el procedimiento del trabajo independiente,realice un esquema sobre las caracteristicas de las perpectivas sociologicas ,
TOTAL HORAS,,,,,,,,0,,,
,,,,,,,,,,,
N° Guía,Fecha,,,contenido,técnica de evaluación,Instrumento de evaluación,Tipo de evaluación,,,,
2,9 de marzo,Conceptual,,Primer momento:,Desempeño,Lista de cotejo,Parcial I,,Esquemas,,
,,describir las características de las perspectivas sociológicas,,perspectivas Sociológicas,lea la información y realice un esquema sobre perspectivas Sociológicas,"Organización, orden, lógica, coherencia en las ideas ",10 pts ,1 hora ,esquema sobre perspectivas Sociológicas,Biblioteca virtual ,16/03/2024
,,Procedimental,,Segundo momento:,,,,,,,
,,,,,,,,,,,
,,Actitudinal,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
3,16 de marzo,Conceptual:,,Primer momento:,Unidad II:,Inicial,Otras técnicas de aprendizaje,,Debate,,Fe cristiana
,,"Debatir las perspectivas sociologicas(funcional, conflicto social, evolucionista e interaccionismo simbólico).",,revisión del trabajo independiente y aclaraciones del docente,"Historia del pensamiento sociologico  

","Conversatorio sobre las perspectivas Sociológicas, analis del texto me caí del mundo y no se por donde se entra","perspectivas sociologicas, características de los precursores y fundadores de la Sociología",30,Debate ,la Docente genera un conversatorio sobre las principales características de las perspectivas sociológicas y se analiza  el contenido de el fragmento de me caí del mundo y no sé por dónde se entra de Eduardo Galeano.,Fe cristiana se aplicará en el primer momento haciendo énfasis en el devocional una reflexión de la bondad de Dios hacia nuestra vidas
,,Procedimental:,,Segundo momento:,,Desarrollo,Otras técnicas de aprendizaje,,Otros,,Fe cristiana
,,"Debatir los aportes de los fundadores, precursores y constructores de la Sociología utilizando diferentes técnicas de estudio.",,orientación del trabajo a realizar.,,explicación por parte de la docente sobre el tema y orientación del trabajo a realizar,"Fundadores de la sociología: Enrique Saint Simón, Augusto Comte y Hebert Spencer.
Los constructores: Carlos Marx, Emilio Durkheim y Max Weber
",60,"trabajo en grupo, esquemas y análisis","la docente comparte el documento a trabajar y orienta las siguientes actividades.  1.realice un esquema sobre los aportes de los constructores y fundadores de la sociología. 
2.Analice lo siguiente “Spencer afirma que todo este sujeto a la evolución además comprende a la sociedad como un ser vivo”.
3. Deduzca el por que se justifica que la teoría de Durkheim es la mas científica. 
4.¿ cuales son las razones de la oposición de Weber al positivismo y Marxismo?
5. justifique porqué la Sociología se encarga de  explicar una diversidad de fenómenos humanos, sociales y de la naturaleza.
6. En el siguiente cuadro comparativo escriba características de la influencia de la sociología europea en Latinoamérica y la Sociología en revoluciones de América Latina y Centroamérica.
",
,,Actitudinal:,,Tercer momento:,,Cierre,Otras técnicas de aprendizaje,,Video,,Fe cristiana
,,favorecer ambientes educativos saludables mediante la práctica de valores a fin de valorar los aportes de pensadores sociologicos  ,,orientación del trabajo independiente,,aclarar dudas y orientación del trabajo independiente,"aportes de los precursores, fundadores de la Sociología y su incidencia en la vida diaria.",30,video ,realice un video destacando los aportes de los recursos de la sociología,
TOTAL HORAS,,,,,,,,2,,,
,,,,,,,,,,,
N° Guía,Fecha,Objetivos de Aprendizaje,,Contenido,Técnica de evaluación,Instrumento de evaluación,Tipo de Evaluación,Tiempo en minutos,Estrategias de estudio,Recursos ,Fecha de entrega
3,16 de marzo,Conceptual,,Primer momento:,Desempeño,Lista de cotejo,Parcial I,,Otros,,
,,Explicar los aportes de los precursores de la Sociología.,,aportes de  los principales precursores de la Sociología.,Realice un video sobre los aportes de los precursores de la Sociología.,"criterios: Coherencia, creatividad, orden y contenido.",I parcial,60 minutos,Realización de un vídeo,Celular y computadora,23/03/2024
,,Procedimental,,Segundo momento:,,,,,,,
,,,,,,,,,,,
,,Conceptual,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
4,23 de marzo,Conceptual:,,Primer momento:,Unidad II:,Inicial,Otras técnicas de aprendizaje,,Debate,,Tecnología de la información y comunicación
,,Analizar características generales de la sociologia cirrespondeiente ala I y II unidad ,,"Diagnóstico, exploración de conocimientos y revisión de trabajo independiente",,Debate,sociologia caracteristicas,30 m,Debate,la  docente solicitara la participacion en un conversatorio sobre las característicasicas generales de la Sociologia ,primer momento cambios que se relacionan con la Sociología
,,Procedimental:,,Segundo momento:,,Desarrollo,Otras técnicas de aprendizaje,,Otros,,
,,"Describir caracteristicas generales de la sociologia, precursores , fundadores y perspectivas Sociológicas. ",,evaluación ,,evaluación de los aprendizajes,"sociologia caracteristicas, precursores, fundadores, perpectivas ",60 m,ítems de evaluación,evaluacion de las unidades,
,,Actitudinal:,,Tercer momento:,,Cierre,Otras técnicas de aprendizaje,,Otros,,
,,valorar el papel de la Sociologia en la vida diaria ,,orientación del trabajo independiente,,orientación del trabajo independiente y aclaración del docente,La Sociologia en la epoca contemporanea,30 m,trabajo en grupo,organizador gráfico,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Guía,Fecha,Objetivos de Aprendizaje,,Contenido,Técnica de evaluación,Instrumento de evaluación,Tipo de Evaluación,Tiempo en minutos,Estrategias de estudio,Recursos ,Fecha de entrega
4,23 de marzo,Conceptual,,Primer momento:,Desempeño,Escala,Parcial II,1 hora,Esquemas,Google académico,6 de abril
,,describa características de la Sociología en la época contemporáneaa,,la sociología en la época contemporáneaa,organizador gráfico,,corte evaluativo II,1 hora,realiza un esquema sobre las características de la sociología contemporánea,Google académico,6/04/2024
,,Procedimental,,Segundo momento:,,,,,,,
,,,,,,,,,,,
,,Actitudinal,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
5,6 de abril,Conceptual:,,Primer momento:,Unidad III:,Inicial,Otras técnicas de aprendizaje,,Debate,,
,,Analizar los conceptos generales de  estructura y organización de la sociedad.,,Diagnóstico y exploración,Estructura y organización de la sociedad.,realizar un conversatorio y exploración,"""	Origen de la sociedad.""",30 m,conversatorio,la docente solicitará la participación en un conversatorio sobre la investigación orientada en el encuentro anterior sobre características de la Sociología contemporánea y dará una breve explicación de la tercera unidad.,
,,Procedimental:,,Segundo momento:,,Desarrollo,Otras técnicas de aprendizaje,,Otros,,
,,Establecer comparaciones de la Formación Económica y social  con el propósito de encontrar los aportes a la sociedad.,,orientación del trabajo a realizar,,trabajo en grupo,"	Surgimiento de la desigualdad y las clases sociales.
	Caracterización de la estructura de la comunidad primitiva.
",60 m,trabajo en grupo,"1.	Lea, analice las teorías del origen de la sociedad y describa las características en el siguiente cuadro.
Teorías del origen de la sociedad 	Características 
Teoría divina 	
Teorías míticas y religiosas 	
Teoría evolucionista 	
Teorías sociológicas 	
El paradigma Aristotélico 	
El paradigma Contractualista	
El paradigma Liberal	

2.	Según su punto de vista critico ¿Cuál es la teoría más creíble? Justifique su respuesta.
3.	¿Por qué se originaron las  clases sociales?
4.	Describa el papel de la mujer en la comunidad  primitiva 
5.	Enumere características de la estructura económica de la sociedad primitiva. 
",
,,Actitudinal:,,Tercer momento:,,Cierre,Otras técnicas de aprendizaje,,Otros,,
,,Asumir una actitud critica que promueva la armonía social sin discriminación.,,orientación del trabajo independiente,,se orienta que realicen una pirámide sobre la estructura socia,"Formación Económica social primitiva, medieval y moderna.",30,Pirámide,"haciendo uso de la app canva realice pirámides de estructura social de la época antigua,medieval y contemporánea",
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Guía,Fecha,Objetivos de Aprendizaje,,Contenido,Técnica de evaluación,Instrumento de evaluación,Tipo de Evaluación,Tiempo en minutos,Estrategias de estudio,Recursos ,Fecha de entrega
5,6 de abril,Conceptual:,,Primer momento:,Desempeño,Lista de cotejo,Parcial II,,Otros,,
,,"Estructurar las formas de organización social  en la época primitiva, moderna y contemporánea",,formas de estructura social,realización de una Pirámide,lista de cotejo,corte parcial,60 m,pirámide,app canva y Google académico,13/04/2024
,,Procedimental:,,Segundo momento:,,,,,,,
,,,,,,,,,,,
,,Actitudinal:,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
6,13 de abril,Conceptual:,,Primer momento:,Unidad III:,Inicial,Otras técnicas de aprendizaje,,Debate,,Emprendimiento e innovación
,,Analizar los conceptos generales del astro y organización de la sociedad,,"está visión de trabajo independiente ,exploración y diagnóstico",estructura y organización de la sociedad,participación en un debate,"estratificación social y su relación con la formación económica y social en la época primitiva medieval, moderna y  contemporáneo, el problema del poder inmigración y minorías ",30 m,"Debate, Observación y análisis de imagen, utilización de blog educativo","la docente solicitará los estudiantes la participación debate sobre la pirámide realizadas como trabajo independiente, la docente solicita al estudiante que acceden a blog educativo y observen imagen de la clase sobres la situación de la clase social por eduardo galeano y se realiza un conversatorio sobre lo que interpretan, preguntar ¿se relaciona con la clase social?¿Que es el poder?",se aplicará en el primer momento haciendo énfasis en la importancia de la formación económica de la historia
,,Procedimental:,,Segundo momento:,,Desarrollo,Otras técnicas de aprendizaje,,Otros,,
,,establecer compara sabes de la formación económica y estratificación social su principales características.,,orientación de trabajo a realizar para evaluar el contenido nuevo,,trabajo en grupo,La importancia del excedente agrícola para el surgimiento de la vida urbana,60 m,"trabajo en grupo: preguntas de análisis, Observación de vídeo, ","La docente solicita la lectura del documento de la clase y realizar un socializado sobre •	¿Cómo surgió el excedente de producción?
•	En el siguiente grafico escriba concepto y características de excedente de producción, lucha de clases y la propiedad privada. 
actividades en el cuaderno de trabajo: observe el vídeo y  lea los puntos más importantes de estratificación social y realice lo siguiente: 
•	En el siguiente esquema escribe las características de la estratificación social 
•	En la siguiente pirámide, escribe la división den función de las clases.
",
,,Actitudinal:,,Tercer momento:,,Cierre,Otras técnicas de aprendizaje,,Exposición ,,
,,asumir un aptitud que promuevan armonía social sin discriminación en práctica educativa.,,se orienta el trabajo independiente,,la docente oriente trabajo independiente,inmigración y minoría medio de comunicación,30m,"exposición sobre la sociedad, migraciones y medios de comunicación ",la docente solicitar estudiante que preparé una posición sobre la sociedad migraciones medio de comunicación para evaluar en el próximo encuentro,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Guía,Fecha,Objetivos de Aprendizaje,,Contenido,Técnica de evaluación,Instrumento de evaluación,Tipo de Evaluación,Tiempo en minutos,Estrategias de estudio,Recursos ,Fecha de entrega
6,13 de abril,Conceptual:,,Primer momento:,Desempeño,Escala,Parcial II,,Otros,,
,,Explicar la relación entre sociedad migraciones medio de comunicación,,inmigración y minoría medio de comunicación,desempeño sobre la calidad de exposición,,corte parcial valoración 10 puntos,60 m,exposición sobre el contenido de la sociedad su relación con la inmigración y medios de comunicación,búsqueda de información en Google académico,20/04/2024
,,Procedimental:,,Segundo momento:,,,,,,,
,,,,,,,,,,,
,,Actitudinal:,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
7,20 de abril,Conceptual:,,Primer momento:,Unidad IV:,Inicial,Otras técnicas de aprendizaje,,Investigación,,Investigación
,,Analizar la Dinámica Social y administración mediante grupos de discusión,,"revisión de trabajo independiente, diagnóstico y exploración",La Sociología y el Estado,"docente revisa el trabajo independiente, diagnóstico y exploración del nuevo contenido",papel del Estado y sus instituciones(caracteristicas y elementos constituvos),30 m,exposición,la docente solicita a los estudiantes que expongan lo orientado en la clase anterior sobre sociedad y su relación con la inmigración y medios de comunicación,se aplicará en el primer momento sobre la relación de la migración y su papel en la sociedad como modelo de investigación en la actualidad
,,Procedimental:,,Segundo momento:,,Desarrollo,Otras técnicas de aprendizaje,,Otros,,
,, Debatir las problemáticas de la autoridad y los elementos que la generan mediante trabajos grupales,,trabajo a realizar para evaluar el tema nuevo,,se orienta el trabajo a realizar,"características y elementos de las instrucciones del Estado, poder autoridad y lucha de clases",60 m,trabajo colaborativo,"La docente comparte la presentación sobre El estado y orienta la realización de lo siguiente:¿Cómo se originó el Estado?
Investiga y caracteriza el personaje de Maquiavelo.
Diferencia el término  de Estado y nación.
Caracteriza los elementos del Estado.
Defina el objetivo del origen de la política y el derecho, sintetízalo en el siguiente organizador 

",
,,Actitudinal:,,Tercer momento:,,Cierre,Otras técnicas de aprendizaje,,Otros,,
,,valorar los principios éticos y Morales en las relaciones sociales,,la docente orienta el trabajo independiente.,,relación de poder autoridad y lucha de clases.,relación de poder autoridad y lucha de clases.,30m,investigación,investiga tipos y ejemplos de tipos de autoridad,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Guía,Fecha,Objetivos de Aprendizaje,,Contenido,Técnica de evaluación,Instrumento de evaluación,Tipo de Evaluación,Tiempo en minutos,Estrategias de estudio,Recursos ,Fecha de entrega
7,20 de abril,Conceptual:,,Primer momento:,Observación,Cuaderno del estudiante,Parcial II,,Otros,,
,,Describe los tipos de autoridad,,tipos de autoridad y formas de autoridad.,investiga los tipos de autoridad y formas de autoridad (ejemplos),calidad de la investigación,,60 minutos,investigación,Google académico,27/04/2024
,,Procedimental:,,Segundo momento:,,,,,,,
,,,,,,,,,,,
,,Actitudinal:,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
8,27 de abril,Conceptual:,,Primer momento:,Unidad II:,Inicial,Otras técnicas de aprendizaje,,Debate,,Investigación
,,Destacar los contenidos de II Y III unidad ,,"Diagnóstico, exploración y revisión de trabajo independiente",Estructura y organización de la sociedad,La docente explora conocimientos previos,"El poder, la estratificación (sistemas),los tipos de autoridad",30m,Conversatorio,"La docente solicita a los estudiantes que participen en un conversatorio sobre el trabajo independiente, exploración de los temas sobre el poder, la estratificación, las minorías y medios de comunicación",se aplicará en el primer momento haciendo énfasis sobre los medios de comunicación y su influencia en la sociedad 
,,Procedimental:,,Segundo momento:,Unidad III:,Desarrollo,Otras técnicas de aprendizaje,,Otros,,
,,reconocer aspectos relacionados a estratificación social y minorías,,evaluación de los aprendizajes,La sociedad y el Estado,Brinda la evaluación de corte parcial,evaluación del corte,60m,examen,la docente solicita a los estudiantes que realicen una prueba sobre evaluación de los aprendizajes,
,,Actitudinal:,,Tercer momento:,,Cierre,Otras técnicas de aprendizaje,,Otros,,
,,asumir una actitud crítica sobre el papel del poder y la estratificación social.,,orientación de trabajo independiente,,la docente orienta el trabajo independiente,relación del Estado y poder,30m,resumen,la docente orienta que realicen un escrito sobre Estado y el poder,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Guía,Fecha,Objetivos de Aprendizaje,,Contenido,Técnica de evaluación,Instrumento de evaluación,Tipo de Evaluación,Tiempo en minutos,Estrategias de estudio,Recursos ,Fecha de entrega
8,27 de abril,Conceptual:,,Primer momento:,Desempeño,Cuaderno del estudiante,Parcial III,,Resumen,,
,,explica la relación del poder y el Estado,,El Estado y el poder,redacta un resumen sobre la relación del poder y el Estado,,,60 m,resumen,Google académico,4/05/2024
,,Procedimental:,,Segundo momento:,Otros,,,,,,
,,,,,,,,,,,
,,Actitudinal:,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
9,4 de mayo,Conceptual:,,Primer momento:,Unidad IV:,Inicial,Otras técnicas de aprendizaje,,Debate,,Investigación
,,Analizar la Dinámica Social y Administración a fin de diferenciar el papel del individuo en la relación de status y administración,,Diagnóstico y exploración,La Sociología y la administración,la docente explora conocimientos sobre trabajo independiente y diagnóstico del nuevo,el poder y la autoridad,30,conversatorio,"la docente solicita la participación oral de los estudiantes sobre el poder y el estado, la docente explica concepto básico de poder autoridad estado anarquía tipo de poder.",se aplicará en el primer momento haciendo énfasis de la investigación sobre el estado y de nación de nicaragua
,,Procedimental:,,Segundo momento:,,Desarrollo,Otras técnicas de aprendizaje,,Estudio de casos,,
,,Debatir las problemáticas de la autoridad y los elementos que la generan,,organización de grupo y trabajo a realizar,,La docente orienta el trabajo a realizar,papel de las instituciones del Estado,60m,estudio de caso,"la docente brinda una presentación sobre lo contenido del poder autoridad y el papel de la instituciones del estado, solicita a los estudiantes que realice un estudio de caso sobre una institución y su función en la sociedad.",
,,Actitudinal:,,Tercer momento:,,Cierre,Otras técnicas de aprendizaje,,Otros,,
,,valorar con principios éticos y Morales el papel del individuo en las relaciones sociales,,orientación de trabajo independiente,,la docente orienta el procedimiento del trabajo a realizar,Delegación de autoridad y formas de autoridad,30m,observación y ejemplos,observación sobre cómo se da la autoridad en una institución,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Guía,Fecha,Objetivos de Aprendizaje,,Contenido,Técnica de evaluación,Instrumento de evaluación,Tipo de Evaluación,Tiempo en minutos,Estrategias de estudio,Recursos ,Fecha de entrega
9,4 de mayo,Conceptual:,,Primer momento:,Observación,Escala,Parcial III,,Otros,,
,,analizar la forma de autoridad del diferentes instituciones sociales,,forma de autoridad,observa una institución o como sea la forma de autoridad en ella realiza un ecrito sobre lo analizado,,,30,observación,análisis u observen,11/05/2024
,,Procedimental:,,Segundo momento:,,,,,,,
,,,,,,,,,,,
,,Actitudinal:,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,"0,5",,,
,,,,,,,,,,,
N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
10,11 de mayo,Conceptual:,,Primer momento:,Unidad IV:,Inicial,Otras técnicas de aprendizaje,,,,
,,Analizar la Dinámica Social y Administración a fin de diferenciar el papel del individuo en la relación de status y administración,,"diagnóstico, exploración y revisión de trabajo independiente",la Sociología y la administración,conversa y análisis de video,"la docente solicita la participación en un debate sobre lo orientado en el trabajo independiente mediante la siguiente pregunta¿Que tipo de autoridad identificaron en las instituciones que anduvieron?, comparte el vídeo sobre tipos de poder para analizar cómo se dan en la vida diaria.      https://youtu.be/mdBiavQ2U4w?si=gdgo_ZzArM2IK-mq ",,,,
,,Procedimental:,,Segundo momento:,,Desarrollo,Otras técnicas de aprendizaje,,,,
,,Debatir las problemáticas de la autoridad y los elementos que la generan,,trabajo a realizar,,trabajo de análisis,"El que no puede delegar no puede liderar."" - Mary Parker Follett analice lapoder.e y su relación con la delegación de poder.La delegación de poder es el acto de transferir la autoridad y la responsabilidad de una tarea o conjunto de tareas a otra persona. Esto significa otorgarle a esa persona la capacidad de tomar decisiones y actuar en nombre del delegador.

La delegación es una herramienta fundamental para la gestión eficaz en cualquier tipo de organización, ya sea una empresa, un gobierno, una organización sin fines de lucro o incluso una familia.

¿Por qué empleadosante la delegación de poder? analiza una imempleados e la tipología conductual de los jefes hacia los empleados.ipos de obediencia y ejemplos:
La obediencia se puede clasificar de diversas maneras según el contexto, la motivación y las consecuencias de la acción. A continuación, se presentan algunos tipos comunes de obediencia junto con ejemplos:

1. Obediencia ciega:

Definición: Se caracteriza por seguir órdenes o instrucciones sin cuestionarlas ni analizarlas, incluso si van en contra de la propia moral o ética.
Ejemplo: Un soldado que ejecuta una orden de disparar a civiles, a pesar de saber que es un acto incorrecto.
2. Obediencia debida:

Definición: Implica seguir las órdenes de figuras de autoridad legítimas, incluso si no se está de acuerdo con ellas, siempre que no sean claramente ilegales o inmorales.
Ejemplo: Un ciudadano que paga impuestos, incluso si considera que son demasiado altos.
3. Obediencia solidaria:

Definición: Se basa en la cooperación y el compromiso con un grupo o causa, lo que lleva a seguir las normas o instrucciones establecidas por el grupo.
Ejemplo: Un jugador de equipo que sigue las tácticas del entrenador, incluso si no las comprende completamente.
4. Obediencia sociológica:

Definición: Surge del deseo de conformidad con las normas sociales y evitar el rechazo o la desaprobación del grupo.
Ejemplo: Una persona que sigue la moda o las tendencias populares, incluso si no le gustan personalmente.
5. Obediencia voluntaria:

Definición: Se basa en la comprensión, el acuerdo y la aceptación de las razones detrás de las órdenes o instrucciones.
Ejemplo: Un estudiante que estudia para un examen porque comprende la importancia de la educación.
6. Obediencia como autodisciplina:

Definición: Implica seguir reglas o normas internas establecidas por uno mismo para lograr objetivos o mantener un comportamiento deseado.
Ejemplo: Una persona que sigue un plan de alimentación saludable para mantenerse en forma.
7. Obediencia religiosa u obediencia de la fe:

Definición: Se basa en las creencias y principios religiosos, lo que lleva a seguir las enseñanzas o directrices de una religión o líder religioso.
Ejemplo: Un devoto que reza o medita regularmente, según lo prescrito por su religión.
8. Voto de obediencia:

Definición: Es un compromiso formal hecho por ciertas personas, como religiosos o miembros de algunas organizaciones, para seguir las reglas y directrices establecidas por la institución a la que pertenecen.
Ejemplo: Un monje que hace un voto de pobreza, castidad y obediencia.
Es importante tener en cuenta que estos tipos de obediencia no son mutuamente excluyentes y pueden coexistir en diferentes situaciones. La forma en que se manifiesta la obediencia depende de diversos factores, como la personalidad del individuo, el contexto social y la naturaleza de la autoridad.




tune

share


more_vert


expand_content
add_photo_alternatephoto_camera

mic
send
Gemini puede mostrar información imprecisa (incluidos datos sobre personas), así que comprueba sus respuestas. Tu privacidad y las aplicaciones de",,,,
,,Actitudinal:,,Tercer momento:,,Cierre,Otras técnicas de aprendizaje,,,,
,,valorar con principios éticos y Morales el papel del individuo en las relaciones sociales,,orientación de trabajo independiente,,guía para examen,Guía sobre unidad IV,,,,
TOTAL HORAS,,,,,,,,0,,,
,,,,,,,,,,,
